Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
68,190,94,29,105,40.8,231
20,166,60,14,94,40.3,66
69,179,79,5,88,38.7,26
34,179,71,13,100,40.5,71
27,154,58,10,81,39.8,35
36,151,50,23,96,40.7,123
33,158,56,22,95,40.5,112
41,175,85,25,100,40.7,143
60,186,94,21,97,40.4,134
26,146,51,16,90,40.2,72
36,177,76,1,74,37.8,3
21,157,56,17,100,40,92
66,171,79,11,90,40,58
32,157,54,18,93,40.4,88
53,182,85,2,82,38.1,7
39,156,62,28,104,40.8,170
39,182,82,4,82,38.6,11
46,169,67,11,89,40.2,43
27,171,65,4,85,38.6,15
50,188,86,14,94,40.2,74
67,189,93,8,77,39.2,29
31,148,50,8,84,39.5,32
33,157,60,3,80,38.7,10
20,165,59,29,100,41,155
48,182,85,1,80,37.7,3
29,176,75,10,83,39.7,24
33,173,73,7,78,39.3,12
42,190,88,3,83,38.9,10
62,159,59,29,106,41.2,195
38,171,75,2,81,38.2,5
20,183,88,16,97,40.5,69
25,160,59,24,102,40.3,136
24,165,59,18,91,40.2,80
42,165,68,22,93,40.8,107
22,182,84,29,114,41,200
74,158,59,10,93,39.6,56
70,154,59,10,88,40,50
26,182,80,21,96,40.5,100
44,184,86,25,114,40.8,200
61,183,86,1,81,38.3,4
68,157,57,13,92,40.1,70
61,176,70,20,104,40.5,127
63,179,80,25,108,40.8,197
54,171,66,20,98,40.1,113
54,169,66,3,80,38.9,11
47,155,55,16,93,40.5,82
33,184,86,8,86,39.9,26
24,171,66,24,105,40.6,141
24,195,98,20,96,40.6,92
48,152,59,2,79,38,5
35,193,93,10,83,39.7,30
21,168,71,3,78,38.5,3
21,179,73,9,90,39.6,37
22,158,62,25,105,40.6,147
69,174,69,2,80,38.1,8
53,191,101,21,106,40.7,159
68,155,58,15,100,40.3,93
69,164,65,23,113,40.4,173
28,198,101,19,95,40.6,89
70,188,89,7,82,39.3,31
36,170,64,9,84,39.6,35
77,177,80,16,98,40.6,94
32,167,63,9,99,39.7,49
62,185,77,13,84,40.4,54
64,151,56,20,97,40.4,117
45,175,79,27,104,40.6,173
45,158,61,20,97,40.7,99
22,177,71,10,93,39.8,45
45,169,69,22,113,40.6,166
66,174,69,28,111,40.9,202
31,182,83,20,101,40.9,107
57,163,68,29,109,40.7,199
53,192,93,5,90,39.1,25
22,179,67,8,77,39.5,23
67,192,92,24,108,40.7,200
27,168,64,2,76,38.2,6
57,178,83,2,79,38.1,7
49,168,68,20,99,40.6,113
39,168,63,29,108,40.7,188
47,165,72,20,96,40.3,103
62,197,101,17,103,40.3,128
41,187,89,23,99,40.7,130
34,144,50,7,83,39.3,27
40,163,62,27,111,41.2,185
55,155,57,11,92,39.8,57
44,189,88,13,94,40,65
45,160,60,16,99,40.4,91
49,164,64,19,105,40.4,120
46,166,68,12,101,40.1,70
25,202,100,9,94,39.8,39
68,171,80,22,95,40.5,136
25,169,64,14,101,40.2,77
31,174,67,9,93,39.5,42
57,184,91,7,95,39.2,41
27,159,59,14,88,39.9,59
40,201,98,24,110,40.7,179
57,171,74,2,73,38.6,6
23,155,62,5,74,39.2,13
23,189,87,23,110,40,147
43,183,88,26,107,40.7,180
74,201,107,14,96,40.1,101
45,158,53,23,106,40.7,150
31,165,60,25,115,40.8,179
21,195,93,6,93,39.2,23
50,190,96,3,80,38.3,10
39,175,74,9,93,39.5,39
57,169,81,30,112,40.9,247
26,159,53,19,92,40.5,89
34,181,83,25,102,40.9,141
55,160,62,4,87,39.1,18
52,171,67,15,89,40.6,70
21,188,90,29,110,40.8,185
20,136,45,11,94,40.1,54
79,152,60,29,107,40.8,207
21,189,91,27,114,41,189
50,171,74,2,82,38.1,6
29,180,76,12,97,39.9,60
22,194,92,6,92,39,23
28,158,60,27,113,40.8,186
38,188,93,28,104,40.9,178
23,169,73,25,102,40.7,122
68,159,68,24,108,40.5,166
79,176,86,20,102,40.1,158
35,182,70,2,83,38.4,7
67,201,96,18,105,40.5,143
21,156,52,12,82,39.8,43
44,143,49,17,92,40.2,86
43,175,72,23,100,40.7,128
21,186,79,29,111,41,182
32,170,70,10,98,39.7,52
79,179,91,27,107,40.4,236
51,192,96,19,97,40.6,114
60,174,67,11,99,39.7,64
49,184,86,26,103,40.8,171
46,179,84,6,82,39.2,19
35,149,54,21,111,40.5,144
31,172,76,9,94,39.7,37
42,185,78,26,110,41.4,185
66,174,69,13,87,39.8,60
52,189,90,22,96,40.5,127
59,166,73,23,101,40.4,149
23,169,71,16,102,40.1,78
49,164,63,5,91,38.9,24
25,157,57,23,107,40.8,143
20,188,84,27,104,41,143
28,163,66,15,94,40.1,71
60,182,90,11,90,40.2,58
29,178,77,15,95,40.4,71
40,184,87,5,88,39.5,20
26,191,93,17,96,40.3,78
26,176,76,19,97,40.4,93
25,158,58,6,90,39.2,17
60,190,87,3,84,38.9,12
25,181,81,23,101,40.8,115
39,165,65,19,106,40.6,119
30,153,53,26,108,40.6,168
23,198,100,12,90,40.4,44
37,148,51,29,108,40.6,192
22,147,47,17,101,40.3,96
26,170,68,23,105,40.7,135
56,167,60,12,86,40.2,54
43,171,79,30,115,40.8,239
38,169,65,14,94,40.1,69
24,179,80,14,90,40.7,46
25,164,63,21,101,40.7,115
31,163,62,4,88,39.1,17
54,151,57,25,115,40.4,190
34,190,91,12,89,40.2,48
28,176,72,27,112,40.7,178
24,191,95,6,88,39.3,20
27,167,69,15,90,40.4,64
35,154,57,19,94,40.6,95
49,183,89,25,111,40.8,196
36,185,91,2,91,38.1,9
58,192,83,18,101,40.8,105
40,157,61,12,92,40,58
31,179,77,24,97,40.8,111
50,182,86,17,101,40.3,108
36,202,109,6,87,39.1,24
34,163,61,13,96,40.1,67
78,153,54,13,84,40.3,62
41,178,76,28,104,40.8,172
41,172,71,7,87,39.5,24
24,178,77,19,98,40.1,84
67,173,69,20,105,40.5,132
47,179,75,25,110,40.7,167
42,154,52,17,101,40.6,101
25,180,75,23,97,40.6,113
25,179,78,17,101,40.3,84
58,165,68,6,88,39.4,28
68,191,98,22,99,41,157
24,181,91,14,97,40.4,64
38,192,92,21,104,40.6,133
26,164,59,23,108,40.5,145
64,178,83,24,103,41,174
49,174,75,7,93,39.2,34
73,158,57,29,103,40.9,193
27,180,86,24,107,40.7,147
66,171,72,18,105,40.5,133
39,199,104,26,101,40.7,161
30,168,62,6,76,39.4,18
76,187,96,12,96,40.1,85
60,193,90,15,95,40,90
54,188,90,23,108,40.9,176
49,166,66,11,89,39.6,51
24,173,66,7,82,39.3,24
28,161,57,6,83,39.5,22
72,197,102,25,106,40.9,212
32,171,78,29,112,40.9,201
36,159,59,17,93,40.3,83
65,204,103,14,93,40.1,87
36,163,67,27,97,40.7,141
32,159,63,23,103,40.3,134
42,180,84,2,80,38.6,5
34,191,94,29,109,40.9,201
34,181,78,3,86,38.2,9
26,191,86,8,83,39.3,20
31,203,105,29,113,40.8,221
64,157,63,17,105,40.1,112
34,185,93,20,99,40.3,108
63,204,112,29,110,40.4,257
44,194,87,27,108,40.8,192
36,190,96,17,90,40.3,72
41,173,71,28,104,41.2,169
73,168,77,18,97,40.3,120
31,186,85,28,106,40.8,172
22,179,73,10,84,39.9,21
34,161,56,18,102,40.6,105
21,168,65,25,109,40.3,156
22,145,50,3,89,38.7,13
33,190,97,24,100,40.8,134
51,157,60,21,103,40.4,130
45,195,99,2,83,37.9,7
33,175,67,25,101,41.1,140
47,198,97,7,91,39.3,34
70,175,74,9,79,40,34
77,160,63,8,92,39.5,44
35,172,71,11,85,39.9,42
44,161,60,2,89,38.4,9
71,164,60,18,97,40.5,107
54,174,75,9,87,39.6,39
63,166,68,26,108,40.8,178
50,149,55,13,101,40.4,79
63,200,105,15,102,40.3,113
30,163,58,22,109,40.5,143
33,163,57,4,84,38.7,16
38,189,91,24,100,40.5,137
20,183,81,17,97,40.5,71
67,159,62,13,94,40.2,72
24,188,90,14,103,40.1,76
30,197,103,27,109,40.5,187
35,145,49,18,103,40.2,109
63,176,79,29,111,40.5,204
50,157,60,6,91,39.4,29
33,200,101,17,98,40.5,91
36,163,58,4,84,39,16
75,187,97,7,84,39.1,36
56,184,93,13,97,39.9,80
50,182,75,22,111,40.6,151
24,183,80,27,116,40.6,195
32,172,72,8,80,39.5,26
49,193,100,22,99,40.5,138
77,170,65,3,89,39,15
67,171,75,19,97,40.5,120
23,182,81,30,112,41,197
37,192,95,21,98,40.7,114
35,163,59,20,107,40.6,127
34,185,83,23,97,40.8,112
49,168,67,21,98,40.4,116
69,156,61,8,83,39.4,35
49,194,101,16,103,40.4,110
41,150,51,22,95,40.2,117
42,195,95,17,105,40.2,115
52,188,93,21,107,40.6,157
26,158,60,12,91,40,54
79,178,80,25,104,40.5,163
72,172,82,19,107,40.5,156
34,195,92,10,91,39.9,42
60,152,50,7,89,39.8,35
45,158,57,7,91,39.3,34
33,188,92,19,98,40.4,99
56,192,97,20,109,40.5,161
21,153,54,8,94,39.8,38
50,161,61,18,99,40.5,104
60,184,86,27,105,41,200
39,162,72,28,108,40.7,183
48,175,75,19,110,40.7,140
38,163,65,19,97,40.5,100
54,190,95,22,110,40.3,178
23,195,89,27,104,41,150
72,164,68,15,94,40.2,83
47,179,79,6,74,39.3,12
58,170,72,8,103,39.9,49
41,179,85,25,101,40.8,147
62,193,100,8,90,39.4,44
30,168,67,29,107,40.9,179
32,156,56,23,113,40.5,161
20,178,80,9,84,39.4,20
53,168,65,21,102,40.5,127
51,189,95,30,112,41,247
78,177,86,23,100,40.8,173
31,169,69,1,74,37.6,3
74,205,112,6,83,39,32
50,177,70,22,106,40.9,140
40,160,70,8,88,40,34
41,172,75,8,88,39.7,30
26,161,54,13,94,40.3,64
25,185,89,27,104,40.8,152
31,184,89,15,105,39.9,91
20,186,90,4,83,38.8,9
55,176,72,5,84,39.3,20
52,160,59,25,103,40.7,156
60,208,105,26,110,40.6,223
36,191,93,16,97,40,83
53,168,69,11,89,40,51
36,193,95,10,97,40,52
23,169,68,25,114,40.9,170
36,164,57,2,79,37.9,7
37,166,61,25,103,40.7,149
48,181,80,27,105,40.6,181
39,167,71,27,118,41.1,201
21,205,103,7,88,39.6,23
20,187,86,23,100,40.3,109
57,169,72,8,84,39.7,30
77,160,66,15,94,40.5,84
34,184,85,19,109,40.4,128
52,189,92,23,97,40.7,137
70,194,91,28,103,40.8,216
64,157,54,12,95,40.1,68
73,198,101,18,97,40.7,129
47,195,99,11,88,39.8,50
39,164,65,5,84,39.2,19
25,163,60,7,89,39.4,30
22,165,67,27,119,40.4,197
67,173,78,4,95,38.7,24
64,164,67,13,94,40.2,70
37,200,100,12,91,40.1,54
21,184,78,19,100,40.5,88
40,190,97,7,83,39.5,24
36,174,68,19,108,40.1,121
53,178,77,11,95,39.9,57
41,192,99,22,98,40.5,126
56,184,88,5,89,39.5,24
29,166,65,11,84,40,41
28,192,92,7,92,39.5,28
22,191,88,10,90,39.7,34
76,195,93,23,96,40.5,161
73,175,76,4,86,38.9,20
39,191,86,23,97,40.6,119
69,162,59,11,95,39.6,63
46,180,75,12,93,40.1,58
30,163,58,30,115,40.6,215
35,168,67,17,101,40.1,96
60,176,71,24,107,41,160
35,150,50,25,104,41,154
26,182,84,5,81,39.1,11
21,183,83,23,104,40.5,122
27,158,57,22,101,40.4,124
47,172,69,21,97,40.6,113
27,183,79,3,80,38.9,9
49,181,79,29,108,40.7,208
27,178,83,19,102,41,101
46,194,91,14,91,40,66
58,197,98,14,102,40.1,100
27,172,77,13,101,39.9,65
29,176,76,13,91,39.8,47
39,197,96,3,78,38.6,8
56,160,63,4,84,38.7,17
32,183,83,21,97,40.4,101
43,169,67,5,80,39,18
21,202,98,21,108,40.5,131
76,175,72,10,97,39.8,58
22,162,59,15,104,40,87
35,200,99,24,104,40.6,152
45,191,95,28,105,41,193
32,176,83,10,99,39.7,51
39,178,80,25,105,40.7,157
44,174,75,27,105,40.8,165
26,174,67,6,84,39.4,22
42,179,72,17,98,40.1,91
24,178,78,2,93,38.2,9
56,186,93,14,91,40,74
71,185,96,5,85,39.1,26
37,187,84,11,99,39.9,57
47,162,63,10,81,39.9,37
48,167,67,29,112,40.9,217
52,183,86,11,87,40,47
40,192,98,24,99,40.4,139
66,180,75,4,88,38.9,19
37,157,59,16,94,40.2,80
28,193,93,17,94,40.4,74
59,148,51,10,93,39.7,54
24,182,78,28,105,40.8,154
67,162,62,26,93,40.7,140
33,192,98,10,97,39.8,52
34,192,99,15,97,40.1,79
40,181,84,17,99,40.4,94
22,193,85,28,116,41,202
66,164,75,27,114,40.7,238
42,182,82,19,103,40.2,117
42,209,111,7,83,39.5,26
64,203,97,23,106,40.7,184
32,162,64,28,105,40.5,169
24,189,91,1,78,37.7,2
26,182,83,27,107,41,162
32,159,55,13,92,40.2,62
51,190,94,21,105,40.4,150
40,165,59,27,110,41.1,183
34,179,74,25,101,40.9,138
48,185,88,15,103,40,99
21,147,45,23,100,40.6,128
31,175,68,12,91,40.3,54
76,193,103,18,95,40.3,127
20,177,79,5,84,38.9,11
22,167,73,18,94,40.7,66
44,180,84,11,91,39.5,49
49,173,67,10,85,39.5,42
49,179,79,7,95,39.5,37
46,154,55,3,84,38.6,12
75,186,84,29,107,41.1,243
20,167,58,5,76,39.3,14
33,154,59,28,105,40.6,171
68,166,75,28,112,40.8,241
58,173,73,20,104,40.6,125
23,179,81,26,112,40.6,171
79,198,96,9,87,39.7,52
43,201,104,28,103,40.7,187
37,178,74,24,104,40.8,141
75,199,103,28,123,40.5,314
61,173,73,26,102,40.8,159
26,169,62,9,80,40.2,30
23,173,72,28,110,40.9,176
